r,DD,GAFF,GAFF2
6.5625,0.682923,0.568736,0.60931
6.5875,0.679399,0.567729,0.645007
6.6125,0.633357,0.556892,0.603465
6.6375,0.680571,0.63236,0.645253
6.6625,0.590032,0.601808,0.622357
6.6875,0.678433,0.630946,0.656829
6.7125,0.684506,0.634202,0.645474
6.7375,0.703082,0.605839,0.685654
6.7625,0.646256,0.582575,0.691751
6.7875,0.703635,0.561192,0.746788
6.8125,0.70619,0.638868,0.714617
6.8375,0.78369,0.631141,0.636122
6.8625,0.689858,0.611343,0.651617
6.8875,0.743691,0.673341,0.699138
6.9125,0.741317,0.572554,0.659004
6.9375,0.713681,0.668135,0.686068
6.9625,0.726279,0.63232,0.696186
6.9875,0.699107,0.611668,0.625526
7.0125,0.733421,0.604402,0.656648
7.0375,0.673314,0.616022,0.682898
7.0625,0.727378,0.617412,0.660536
7.0875,0.698038,0.610213,0.687808
7.1125,0.657775,0.607346,0.695949
7.1375,0.76274,0.61294,0.699667
7.1625,0.711393,0.667302,0.714683
7.1875,0.720305,0.62385,0.625062
7.2125,0.700189,0.685617,0.650161
7.2375,0.69536,0.622097,0.69299
7.2625,0.694651,0.680282,0.642622
7.2875,0.693935,0.664834,0.689004
7.3125,0.671801,0.666993,0.702021
7.3375,0.720397,0.657135,0.657983
7.3625,0.728714,0.733274,0.677727
7.3875,0.740836,0.674515,0.690511
7.4125,0.699381,0.689525,0.676575
7.4375,0.719266,0.613689,0.66281
7.4625,0.664341,0.648165,0.613874
7.4875,0.663741,0.697497,0.659188
7.5125,0.712584,0.64718,0.640601
7.5375,0.690232,0.647936,0.633793
7.5625,0.676917,0.691245,0.657648
7.5875,0.668735,0.660573,0.619136
7.6125,0.675463,0.697025,0.625139
7.6375,0.68577,0.661774,0.678535
7.6625,0.715428,0.626969,0.72129
7.6875,0.692619,0.72833,0.683305
7.7125,0.710994,0.65619,0.698489
7.7375,0.693259,0.625639,0.667197
7.7625,0.749368,0.662027,0.658068
7.7875,0.665506,0.664869,0.675484
7.8125,0.658909,0.610165,0.653254
7.8375,0.707135,0.627265,0.64672
7.8625,0.699173,0.652245,0.64733
7.8875,0.710851,0.645815,0.664323
7.9125,0.746371,0.682921,0.672938
7.9375,0.717825,0.647934,0.664078
7.9625,0.670435,0.70713,0.616227
7.9875,0.734664,0.6275,0.658075
8.0125,0.65875,0.668212,0.643757
8.0375,0.710044,0.696212,0.696175
8.0625,0.702344,0.666561,0.680651
8.0875,0.717702,0.659161,0.651932
8.1125,0.704587,0.631164,0.660103
8.1375,0.684054,0.71057,0.647247
8.1625,0.727129,0.662153,0.677204
8.1875,0.6437,0.708328,0.641541
8.2125,0.701326,0.646681,0.666821
8.2375,0.670711,0.665982,0.693932
8.2625,0.72955,0.668252,0.676926
8.2875,0.686606,0.689252,0.665419
8.3125,0.742548,0.646763,0.669862
8.3375,0.689719,0.658344,0.67424
8.3625,0.673322,0.630859,0.698357
8.3875,0.73238,0.671897,0.671406
8.4125,0.708821,0.719521,0.641672
8.4375,0.690555,0.681059,0.702379
8.4625,0.703468,0.682041,0.671771
8.4875,0.712244,0.670076,0.657701
8.5125,0.68634,0.691843,0.67698
8.5375,0.699017,0.667163,0.723023
8.5625,0.73203,0.679879,0.689975
8.5875,0.667612,0.692436,0.682998
8.6125,0.702331,0.669112,0.711468
8.6375,0.686761,0.695962,0.690746
8.6625,0.72667,0.711039,0.696478
8.6875,0.712064,0.693668,0.653844
8.7125,0.705156,0.690636,0.696189
8.7375,0.717998,0.655732,0.700804
8.7625,0.722295,0.669718,0.732886
8.7875,0.711704,0.628815,0.749488
8.8125,0.705829,0.680584,0.703005
8.8375,0.749486,0.665735,0.7037
8.8625,0.736153,0.678397,0.696023
8.8875,0.79181,0.701787,0.712415
8.9125,0.703592,0.651873,0.738706
8.9375,0.741767,0.678715,0.704466
8.9625,0.680619,0.70079,0.743191
8.9875,0.753912,0.742115,0.714698
9.0125,0.771761,0.707144,0.745737
9.0375,0.771877,0.65501,0.705919
9.0625,0.736257,0.712442,0.761494
9.0875,0.714015,0.718068,0.735243
9.1125,0.751468,0.675321,0.733848
9.1375,0.745647,0.688786,0.706267
9.1625,0.745846,0.689298,0.734543
9.1875,0.741792,0.734763,0.74005
9.2125,0.732713,0.754408,0.710273
9.2375,0.740493,0.732705,0.695329
9.2625,0.729828,0.713729,0.750204
9.2875,0.744985,0.725667,0.717439
9.3125,0.806178,0.720951,0.743851
9.3375,0.761651,0.683417,0.753249
9.3625,0.786978,0.74922,0.75921
9.3875,0.746251,0.714353,0.722914
9.4125,0.772985,0.703288,0.745407
9.4375,0.803443,0.72771,0.783201
9.4625,0.738464,0.756664,0.726967
9.4875,0.732192,0.750295,0.722331
9.5125,0.790824,0.755854,0.766872
9.5375,0.777243,0.781028,0.786896
9.5625,0.776315,0.736222,0.771627
9.5875,0.727897,0.768228,0.74937
9.6125,0.7458,0.727033,0.728911
9.6375,0.738084,0.760277,0.760449
9.6625,0.761862,0.754047,0.721386
9.6875,0.77776,0.82571,0.719221
9.7125,0.757073,0.712898,0.784294
9.7375,0.735077,0.785529,0.752598
9.7625,0.8049,0.728909,0.728098
9.7875,0.755973,0.7379,0.754059
9.8125,0.795231,0.769104,0.771418
9.8375,0.755702,0.76372,0.76223
9.8625,0.768796,0.764271,0.768862
9.8875,0.803708,0.802167,0.754541
9.9125,0.749408,0.759495,0.766318
9.9375,0.792018,0.817323,0.751395
9.9625,0.733973,0.805288,0.768927
9.9875,0.806347,0.78762,0.811119
10.0125,0.770917,0.753687,0.752541
10.0375,0.808987,0.783347,0.756032
10.0625,0.814867,0.816947,0.773877
10.0875,0.767935,0.77349,0.781507
10.1125,0.759245,0.78998,0.768381
10.1375,0.817477,0.798632,0.766724
10.1625,0.779508,0.766969,0.762956
10.1875,0.786029,0.845327,0.747277
