r,DD,GAFF,GAFF2
10.2125,0.899631,0.790059,0.793391
10.2375,0.911504,0.806802,0.814152
10.2625,0.937683,0.804184,0.762043
10.2875,0.932696,0.779015,0.83849
10.3125,0.942472,0.816272,0.805821
10.3375,0.920247,0.825223,0.806241
10.3625,0.955705,0.783178,0.791624
10.3875,0.936169,0.816021,0.816015
10.4125,0.907038,0.793467,0.80955
10.4375,0.919187,0.769012,0.832335
10.4625,0.949726,0.815692,0.820361
10.4875,0.925939,0.802203,0.825675
10.5125,0.944464,0.794652,0.824255
10.5375,0.924225,0.804122,0.832804
10.5625,0.959902,0.822963,0.799529
10.5875,0.927432,0.7568,0.837294
10.6125,0.951288,0.820528,0.772776
10.6375,0.932167,0.813429,0.835144
10.6625,0.970747,0.851231,0.801633
10.6875,0.923466,0.772862,0.810802
10.7125,0.943243,0.817288,0.828714
10.7375,0.906096,0.800739,0.826858
10.7625,0.955178,0.794247,0.816654
10.7875,0.932152,0.80399,0.860409
10.8125,0.945182,0.795955,0.824496
10.8375,0.951023,0.809493,0.805782
10.8625,0.959923,0.781637,0.816142
10.8875,0.948525,0.840823,0.824843
10.9125,0.936835,0.810361,0.84623
10.9375,0.959895,0.808964,0.847761
10.9625,0.91796,0.820949,0.84505
10.9875,0.957283,0.8195,0.834717
11.0125,0.962817,0.832826,0.82637
11.0375,0.941068,0.812469,0.833226
11.0625,0.951498,0.81293,0.848675
11.0875,0.965947,0.856718,0.821978
11.1125,0.936241,0.8246,0.835829
11.1375,0.952466,0.810905,0.83654
11.1625,0.929721,0.842664,0.885333
11.1875,0.938819,0.848076,0.862597
11.2125,0.959918,0.84576,0.866821
11.2375,0.947627,0.812176,0.844716
11.2625,0.966302,0.846958,0.833338
11.2875,0.946842,0.840687,0.878858
11.3125,0.932224,0.865688,0.867774
11.3375,0.937792,0.805416,0.868972
11.3625,0.93367,0.817173,0.873008
11.3875,0.950532,0.84405,0.852115
11.4125,0.962287,0.837183,0.844846
11.4375,0.920761,0.851433,0.865472
11.4625,0.952858,0.849471,0.834334
11.4875,0.970007,0.877799,0.821624
11.5125,0.938344,0.854584,0.839276
11.5375,0.957466,0.822936,0.83495
11.5625,0.970557,0.822473,0.869273
11.5875,0.978723,0.842531,0.868616
11.6125,0.942064,0.839589,0.847446
11.6375,0.93666,0.81021,0.855722
11.6625,0.969901,0.821937,0.847313
11.6875,0.965081,0.84566,0.853478
11.7125,0.960294,0.841049,0.844462
11.7375,0.959551,0.837137,0.879014
11.7625,0.992431,0.843874,0.881279
11.7875,0.967341,0.867074,0.8374
