r,DD,GAFF,GAFF2
6.5375,0.644623,0.584825,0.61739
6.5625,0.634737,0.588692,0.600848
6.5875,0.654663,0.640345,0.576139
6.6125,0.618627,0.55034,0.591796
6.6375,0.602606,0.585217,0.572456
6.6625,0.652904,0.548565,0.623999
6.6875,0.651232,0.611729,0.596524
6.7125,0.613038,0.554728,0.59856
6.7375,0.586427,0.590062,0.586098
6.7625,0.588359,0.606066,0.596117
6.7875,0.650823,0.592282,0.605974
6.8125,0.57667,0.541649,0.609387
6.8375,0.64287,0.628077,0.608058
6.8625,0.572856,0.590052,0.594349
6.8875,0.607926,0.591816,0.55931
6.9125,0.621508,0.598034,0.614766
6.9375,0.569458,0.653254,0.567937
6.9625,0.590471,0.644139,0.607471
6.9875,0.722557,0.599934,0.58671
7.0125,0.602453,0.550516,0.5603
7.0375,0.670425,0.539381,0.60931
7.0625,0.618343,0.62172,0.581622
7.0875,0.652451,0.657262,0.548505
7.1125,0.609679,0.574785,0.60085
7.1375,0.657389,0.61294,0.573756
7.1625,0.574694,0.548639,0.629433
7.1875,0.678749,0.536511,0.632117
7.2125,0.641037,0.594752,0.601119
7.2375,0.655742,0.622097,0.610889
7.2625,0.614603,0.636831,0.588725
7.2875,0.629258,0.637863,0.62175
7.3125,0.631654,0.596008,0.657037
7.3375,0.634003,0.613237,0.555089
7.3625,0.654787,0.593225,0.625284
7.3875,0.628072,0.545911,0.587669
7.4125,0.711102,0.615228,0.582385
7.4375,0.6106,0.578732,0.621961
7.4625,0.619366,0.632732,0.632198
7.4875,0.648424,0.564641,0.612382
7.5125,0.656795,0.630683,0.59798
7.5375,0.681415,0.642894,0.592737
7.5625,0.648139,0.618614,0.572256
7.5875,0.693595,0.609568,0.579886
7.6125,0.649531,0.627817,0.649038
7.6375,0.672275,0.606524,0.586064
7.6625,0.595987,0.62087,0.56859
7.6875,0.634498,0.574423,0.5982
7.7125,0.664076,0.646558,0.635992
7.7375,0.671744,0.647172,0.628237
7.7625,0.646048,0.632313,0.637503
7.7875,0.665506,0.598736,0.703128
