r,DD,GAFF,GAFF2
9.0125,0.914705,0.750946,0.770719
9.0375,0.927134,0.75467,0.759124
9.0625,0.898471,0.728142,0.77178
9.0875,0.919749,0.725253,0.755817
9.1125,0.933569,0.76387,0.794977
9.1375,0.937846,0.753095,0.74812
9.1625,0.926151,0.762121,0.772048
9.1875,0.88292,0.724243,0.79625
9.2125,0.880305,0.732224,0.819093
9.2375,0.912793,0.776171,0.787654
9.2625,0.900893,0.748431,0.772661
9.2875,0.922215,0.732693,0.720409
9.3125,0.911428,0.750479,0.750035
9.3375,0.928214,0.757001,0.799953
9.3625,0.940079,0.763443,0.793057
9.3875,0.928806,0.730196,0.757453
9.4125,0.904642,0.728914,0.782052
9.4375,0.940194,0.756514,0.796547
9.4625,0.928545,0.718666,0.775869
9.4875,0.893466,0.743969,0.773834
9.5125,0.914228,0.78727,0.805942
9.5375,0.942355,0.778603,0.765742
9.5625,0.954561,0.758464,0.786949
9.5875,0.948587,0.786993,0.81244
9.6125,0.927708,0.779425,0.761323
9.6375,0.938274,0.769947,0.813958
9.6625,0.944279,0.757605,0.785558
9.6875,0.966406,0.762998,0.757439
9.7125,0.901867,0.78196,0.774558
9.7375,0.930761,0.810405,0.793436
9.7625,0.947748,0.795657,0.796149
9.7875,0.9357,0.770981,0.742522
9.8125,0.93333,0.778506,0.790929
9.8375,0.919074,0.742755,0.778816
9.8625,0.912999,0.796603,0.779612
9.8875,0.9131,0.762042,0.778504
9.9125,0.9085,0.803546,0.795694
9.9375,0.934719,0.78695,0.820171
9.9625,0.940707,0.773287,0.80259
9.9875,0.913839,0.77909,0.792107
10.0125,0.935011,0.780702,0.795974
10.0375,0.943161,0.773627,0.796132
10.0625,0.926652,0.771602,0.805384
10.0875,0.956467,0.785837,0.817253
10.1125,0.92652,0.79094,0.81502
10.1375,0.941677,0.783021,0.788577
10.1625,0.938387,0.778728,0.769525
10.1875,0.950209,0.776239,0.800399
10.2125,0.936288,0.793582,0.798695
10.2375,0.921173,0.799352,0.810633
10.2625,0.929373,0.74749,0.804938
10.2875,0.940965,0.803752,0.778816
10.3125,0.928179,0.796837,0.787615
10.3375,0.916368,0.78783,0.792869
10.3625,0.917957,0.799859,0.798492
10.3875,0.976723,0.789203,0.818578
10.4125,0.915535,0.771861,0.804023
10.4375,0.94963,0.803583,0.808216
10.4625,0.945097,0.833315,0.832152
10.4875,0.926358,0.801786,0.813101
10.5125,0.966138,0.774287,0.859295
10.5375,0.956996,0.819427,0.811631
10.5625,0.939259,0.789616,0.828453
10.5875,0.922091,0.8367,0.817965
10.6125,0.922659,0.798914,0.828442
10.6375,0.923619,0.795569,0.836367
10.6625,0.897415,0.839919,0.808931
10.6875,0.970244,0.796185,0.789815
10.7125,0.960904,0.801278,0.804611
10.7375,0.92727,0.780421,0.82366
10.7625,0.930125,0.827952,0.822623
10.7875,0.917111,0.820172,0.853279
10.8125,0.936908,0.827384,0.833171
10.8375,0.918473,0.832175,0.835611
10.8625,0.940795,0.8011,0.844662
10.8875,0.964457,0.793938,0.799176
10.9125,0.920589,0.817304,0.830746
10.9375,0.952194,0.838528,0.793042
10.9625,0.960505,0.811776,0.800169
10.9875,0.924852,0.848415,0.869847
11.0125,0.927874,0.810481,0.865522
11.0375,0.972828,0.837729,0.826793
11.0625,0.951498,0.823438,0.838505
11.0875,0.950959,0.849245,0.822353
11.1125,0.936241,0.837246,0.870173
11.1375,0.920903,0.823494,0.864784
11.1625,0.957816,0.826813,0.845007
11.1875,0.952436,0.814682,0.805508
11.2125,0.893969,0.805573,0.82502
11.2375,0.943614,0.83509,0.796165
11.2625,0.976107,0.840802,0.868227
11.2875,0.980826,0.825906,0.840506
11.3125,0.947701,0.836616,0.82851
11.3375,0.915933,0.825069,0.812666
11.3625,0.979337,0.812904,0.848728
11.3875,0.953729,0.836612,0.84465
11.4125,0.946019,0.847409,0.857942
11.4375,0.955268,0.828962,0.837281
11.4625,0.945496,0.835139,0.836439
11.4875,0.998629,0.833248,0.8342
11.5125,0.918534,0.819236,0.861189
11.5375,0.96404,0.859166,0.86785
11.5625,0.975036,0.820412,0.843757
11.5875,0.9626,0.855188,0.809221
11.6125,0.962217,0.838226,0.819756
11.6375,0.955026,0.816315,0.831895
11.6625,0.969223,0.810455,0.857819
11.6875,0.916861,0.831201,0.849766
11.7125,0.984805,0.838706,0.856223
11.7375,0.953199,0.836137,0.851911
11.7625,0.996426,0.831259,0.849293
11.7875,0.943141,0.843934,0.858302
11.8125,0.933541,0.831149,0.84377
11.8375,0.952612,0.82207,0.825735
11.8625,0.984607,0.864631,0.8275
11.8875,0.965476,0.819069,0.87426
11.9125,0.982202,0.854475,0.853702
11.9375,0.959345,0.848321,0.852718
11.9625,0.95727,0.852161,0.870419
11.9875,0.951359,0.85724,0.842733
12.0125,0.994645,0.876912,0.834117
12.0375,0.963498,0.884367,0.86406
