r,tip3p,tip3pc
10.4875,0.881174,0.934479
10.5125,0.866719,0.907312
10.5375,0.874724,0.914536
10.5625,0.898073,0.894153
10.5875,0.823916,0.900902
10.6125,0.87169,0.894808
10.6375,0.914371,0.939591
10.6625,0.889146,0.940231
10.6875,0.902686,0.928537
10.7125,0.884398,0.938066
10.7375,0.884372,0.957342
10.7625,0.874469,0.91612
10.7875,0.871265,0.938352
10.8125,0.92054,0.932256
10.8375,0.863236,0.962909
10.8625,0.887421,0.959377
10.8875,0.889528,0.966219
10.9125,0.860606,0.882052
10.9375,0.891343,0.913627
10.9625,0.86789,0.95214
10.9875,0.872038,0.951262
11.0125,0.889553,0.942336
11.0375,0.896645,0.926219
11.0625,0.909963,0.952651
11.0875,0.905416,0.932956
11.1125,0.8778,0.931612
11.1375,0.901058,0.931137
11.1625,0.89787,0.953379
11.1875,0.911728,0.947072
11.2125,0.920459,0.9102
11.2375,0.931124,0.950794
11.2625,0.898785,0.9248
11.2875,0.91604,0.961357
11.3125,0.90102,0.922983
11.3375,0.897812,0.936966
11.3625,0.867755,0.9356
11.3875,0.916788,0.93511
11.4125,0.883269,0.930162
11.4375,0.915216,0.959126
11.4625,0.858599,0.956109
11.4875,0.917818,0.928533
11.5125,0.889152,0.950865
11.5375,0.937918,0.927507
11.5625,0.901734,0.926172
11.5875,0.925246,0.943973
11.6125,0.917766,0.917477
11.6375,0.895109,0.917272
11.6625,0.897354,0.972229
11.6875,0.880588,0.948151
11.7125,0.925691,0.923614
11.7375,0.918719,0.95422
11.7625,0.891523,0.951611
11.7875,0.929932,0.94509
11.8125,0.932397,0.947337
11.8375,0.945088,0.942266
11.8625,0.921593,0.960505
11.8875,0.935702,0.934379
11.9125,0.889736,0.905442
11.9375,0.916947,0.95169
11.9625,0.925479,0.948065
11.9875,0.901378,0.96201
12.0125,0.900819,0.912524
12.0375,0.941524,0.933474
12.0625,0.909829,0.965503
12.0875,0.907869,0.957677
12.1125,0.923255,0.940532
12.1375,0.927873,0.966279
12.1625,0.928976,0.924481
12.1875,0.966023,0.93248
12.2125,0.920333,0.9503
12.2375,0.934286,0.941276
12.2625,0.920102,0.944007
12.2875,0.933493,0.967195
12.3125,0.906847,0.952167
12.3375,0.907217,0.941159
12.3625,0.95282,0.934027
12.3875,0.916877,0.934973
12.4125,0.95393,0.947532
12.4375,0.912138,0.94341
12.4625,0.92658,0.93597
12.4875,0.931894,0.959894
12.5125,0.931116,0.960998
12.5375,0.912877,0.89414
12.5625,0.905297,0.943249
12.5875,0.935466,0.942797
12.6125,0.912826,0.92546
12.6375,0.919281,0.928545
12.6625,0.914988,0.948219
12.6875,0.966203,0.949331
12.7125,0.958906,0.922736
12.7375,0.924717,0.95135
12.7625,0.91636,0.962465
12.7875,0.939421,0.969597
12.8125,0.925652,0.969962
12.8375,0.932182,0.947184
12.8625,0.911882,0.938245
12.8875,0.924283,0.966069
12.9125,0.938467,0.946031
12.9375,0.940447,0.9237
12.9625,0.93459,0.948243
12.9875,0.916897,0.916581
13.0125,0.920413,0.9807
13.0375,0.94713,0.968111
13.0625,0.9335,0.962929
13.0875,0.950815,0.990464
13.1125,0.93486,0.939816
13.1375,0.947488,0.973122
13.1625,0.937022,0.960789
13.1875,0.955596,0.945696
13.2125,0.973627,0.955278
13.2375,0.930577,0.995383
13.2625,0.931753,0.944602
13.2875,0.918878,0.960537
13.3125,0.969677,0.942463
13.3375,0.955517,0.93373
13.3625,0.935078,0.954399
13.3875,0.914514,0.992903
13.4125,0.956398,0.984966
13.4375,0.945335,0.942928
13.4625,0.964193,0.964603
13.4875,0.932916,0.961607
13.5125,0.929502,0.949623
13.5375,0.937669,0.961547
13.5625,0.944122,0.954358
13.5875,0.959149,0.951971
13.6125,0.959002,0.946754
13.6375,0.949624,0.957402
13.6625,0.944236,0.947624
13.6875,0.94659,0.984652
13.7125,0.93981,0.961978
13.7375,0.948806,0.954375
13.7625,0.949192,0.971767
13.7875,0.917382,0.933228
13.8125,0.927855,0.963442
13.8375,0.950602,0.953744
13.8625,0.971533,0.988511
13.8875,0.97581,0.955728
13.9125,0.935804,0.974803
13.9375,0.941023,0.958084
13.9625,0.94431,0.967006
13.9875,0.940421,0.939752
14.0125,0.943683,0.954689
14.0375,0.955577,0.970025
14.0625,0.926742,0.969679
14.0875,0.945652,0.957997
14.1125,0.940956,0.952526
14.1375,0.950671,0.916819
14.1625,0.948583,0.969836
14.1875,0.952732,0.96468
14.2125,0.968415,0.971941
14.2375,0.963697,0.981674
14.2625,0.970317,0.969152
14.2875,0.956228,0.955754
14.3125,0.955989,0.962136
14.3375,0.93773,0.981024
14.3625,0.94531,0.972132
14.3875,0.969343,0.975223
14.4125,0.9727,0.950118
14.4375,0.939974,0.968488
14.4625,0.984123,0.967844
14.4875,0.944647,0.947142
14.5125,0.950005,0.968257
14.5375,0.97329,0.965838
14.5625,0.944197,0.950464
14.5875,0.965359,0.969637
14.6125,0.982749,0.976946
14.6375,0.972826,0.980523
14.6625,0.954579,0.97429
14.6875,0.960714,0.965282
14.7125,0.981151,0.976241
14.7375,0.952519,0.972897
14.7625,0.964097,0.916889
14.7875,0.950582,0.945398
14.8125,0.960145,0.977158
14.8375,0.972718,0.984839
14.8625,0.965724,0.967955
14.8875,0.981465,0.988852
14.9125,0.952933,0.946563
14.9375,0.954892,0.973724
14.9625,0.954229,0.954646
14.9875,0.965147,0.970455
15.0125,0.977565,0.988809
15.0375,0.969562,0.95831
15.0625,0.964504,0.967052
15.0875,0.962399,0.953997
15.1125,0.943327,0.943861
15.1375,0.958108,0.981287
15.1625,0.95855,0.982733
15.1875,0.949115,0.984585
15.2125,0.959947,0.943912
15.2375,0.940053,0.991457
15.2625,0.940074,0.981384
15.2875,0.986501,0.980826
15.3125,0.960716,0.981095
15.3375,0.980768,0.970676
15.3625,0.96392,0.978012
15.3875,0.954269,0.978075
15.4125,0.98416,0.960406
15.4375,0.970691,0.982276
15.4625,0.94195,0.984029
15.4875,0.981124,0.968461
15.5125,0.941064,0.975364
